source_id,role,unit,coverage,access,authentication,cost_or_limit,license_or_terms,access_test_2026_09_12,decision,main_limitation,primary_url
bts_db1b_market,fare_and_observed_traffic,ticket_market_row,1993-2025Q2_quarterly_10pct,official_PREZIP_or_TranStats_form,none,free,US_DOT_public_download_attribution_and_notices_preserved,"2024Q1_Q2 full ZIP previously verified; 2025Q2 HEAD 200",primary_2023_2024,"no_quote_or_purchase_timestamp; MktFare_is_prorated; realized_passengers_endogenous",https://www.transtats.bts.gov/Fields.asp?gnoyr_VQ=FHK
bts_db1b_ticket,itinerary_filters,ticket_row,1993-2025Q2_quarterly_10pct,official_PREZIP_or_TranStats_form,none,free,US_DOT_public_download_attribution_and_notices_preserved,"2024Q1 HEAD 200 previously verified",join_for_filters,"large; join_audit_required; no_quote_timestamp",https://www.transtats.bts.gov/DatabaseInfo.asp?QO_VQ=EFI&Yv0x=D
bts_db1c_od40,successor_fare_and_itinerary_data,passenger_ticket_market_coupon_segment,from_2025_07_monthly_40pct,official_BTS_download_pages,none,free,US_DOT_public_download_attribution_and_notices_preserved,"official transition and download pages reviewed",future_extension_only,"structural_break_in_sample_frequency_carrier_definition_and_fields",https://www.bts.gov/OD-40
bts_t100_segment,capacity_and_traffic_control,carrier_airport_pair_month,1990_present_monthly,TranStats_form_or_Data_Bank_28,none,free,US_DOT_public_download_attribution_and_notices_preserved,"official profile/schema reviewed; guessed PREZIP names 404",optional_robustness,"realized_traffic_and_capacity_endogenous; segment_not_itinerary_market",https://www.transtats.bts.gov/DatabaseInfo.asp?QO_VQ=EEE&Yv0x=D
bts_delay_causes,operational_validation,carrier_airport_month,2003_present_with_2018_reporting_scope_change,normal_form_POST_then_raw_ZIP,none,free,US_DOT_public_download_attribution_and_notices_preserved,"2022-2024 All31 ZIP GET 200; 504707 bytes; 13252 rows; all 7 pilot airports",primary_validation,"realized_outcomes; weather cause carrier_assigned; NAS mixes_causes",https://transtats.bts.gov/OT_Delay/ot_delaycause1.asp
bts_asqp_234,flight_level_operational_fallback,domestic_flight,1987_present_monthly,official_PREZIP_monthly_ZIP,none,free,US_DOT_public_download_attribution_and_notices_preserved,"2024-01 marketing PREZIP HEAD 200; 31090329 bytes",fallback_only,"much_larger_than_aggregate_validation_need; carrier_airport_coverage_rules",https://www.bts.gov/browse-statistical-products-and-data/bts-publications/airline-service-quality-performance-234-time
open_meteo_archive,lagged_climatological_weather_input,airport_hour_or_day,1940_present_model_dependent,archive_API_GET,none,"free_noncommercial; 10000_calls_day 5000_hour 600_minute",CC_BY_4_0_plus_upstream_attribution,"ORD 2024-01-15 GET succeeded; 24 hourly rows",primary_risk_input,"retrospective_reanalysis_or_model_archive; not_quote_time_forecast; defaults_can_change",https://open-meteo.com/en/docs/historical-weather-api
open_meteo_previous_runs,fixed_lead_forecast_sensitivity,airport_hour_fixed_1_to_7_day_lead,mostly_from_2024_01,previous_runs_API_GET,none,"free_noncommercial; published_rate_limits",CC_BY_4_0_plus_upstream_attribution,"ORD 2024-01-15 three-day fields succeeded; 24 rows",forecast_validation_only,"DB1B_has_no_purchase_or_departure_date_for_alignment; model_coverage_varies",https://open-meteo.com/en/docs/previous-runs-api
open_meteo_historical_forecast,near_analysis_weather_sensitivity,airport_hour_stitched_run_initial_hours,about_2021_or_2022_present,historical_forecast_API_GET,none,"free_noncommercial; published_rate_limits",CC_BY_4_0_plus_upstream_attribution,"ORD 2024-01-15 GET succeeded; 24 rows",not_primary,"stitched_first_hours_do_not_preserve_chosen_quote_time_lead; model_changes",https://open-meteo.com/en/docs/historical-forecast-api
noaa_ncei_model_archive,forecast_vintage_fallback,gridded_model_run_and_lead,model_dependent_historical,NOAA_NCEI_HTTPS_cloud_or_data_access,none,free_subject_to_service_constraints,"US_government_public_domain_unless_annotated; cite_product",official_documentation_reviewed,fallback_only,"high_volume_GRIB_and_model_version_harmonization_disproportionate_to_pilot",https://www.ncei.noaa.gov/products/weather-climate-models
nws_api,current_forecast_and_observation_reference,gridpoint_station_or_zone,current_and_limited_recent,api.weather.gov_GET,none,free_public_service,"NWS_public_domain_unless_annotated; disclaimer_applies",documentation_reviewed,not_historical_source,"not_general_historical_forecast_vintage_archive",https://www.weather.gov/documentation/services-web-api
